"","location","date","total_deaths_per_million","mask_category"
"1","Germany",0,0.036,2
"2","Germany",1,0.036,2
"3","Germany",2,0.036,2
"4","Germany",3,0.036,2
"5","Germany",4,0.036,2
"6","Germany",5,0.036,2
"7","Germany",6,0.036,2
"8","Germany",7,0.036,2
"9","Germany",8,0.036,2
"10","Germany",9,0.036,2
"11","Germany",10,0.036,2
"12","Germany",11,0.036,2
"13","Germany",12,0.036,2
"14","Germany",13,0.036,2
"15","Germany",14,0.036,2
"16","Germany",15,0.036,2
"17","Germany",16,0.036,2
"18","Germany",17,0.036,2
"19","Germany",18,0.036,2
"20","Germany",19,0.036,2
"21","Germany",20,0.036,2
"22","Germany",21,0.072,2
"23","Germany",22,0.072,2
"24","Germany",23,0.072,2
"25","Germany",24,0.072,2
"26","Germany",25,0.072,2
"27","Germany",26,0.072,2
"28","United Kingdom",27,0.015,2
"29","Germany",27,0.072,2
"30","United Kingdom",28,0.015,2
"31","Germany",28,0.108,2
"32","United Kingdom",29,0.015,2
"33","Germany",29,0.108,2
"34","Germany",30,0.108,2
"35","United Kingdom",30,0.03,2
"36","Germany",31,0.108,2
"37","United Kingdom",31,0.03,2
"38","United Kingdom",32,0.03,2
"39","Germany",32,0.108,2
"40","Germany",33,0.108,2
"41","United Kingdom",33,0.03,2
"42","Germany",34,0.108,2
"43","United Kingdom",34,0.03,2
"44","United Kingdom",35,0.03,2
"45","Germany",35,0.108,2
"46","Germany",36,0.108,2
"47","United Kingdom",36,0.03,2
"48","United Kingdom",37,0.03,2
"49","Germany",37,0.108,2
"50","Germany",38,0.108,2
"51","United Kingdom",38,0.03,2
"52","Germany",39,0.108,2
"53","United Kingdom",39,0.03,2
"54","United Kingdom",40,0.03,2
"55","Germany",40,0.108,2
"56","United Kingdom",41,0.03,2
"57","Germany",41,0.108,2
"58","Germany",42,0.108,2
"59","Spain",42,0.021,3
"60","United Kingdom",42,0.03,2
"61","United Kingdom",43,0.03,2
"62","Germany",43,0.108,2
"63","Spain",43,0.021,3
"64","United Kingdom",44,0.03,2
"65","Germany",44,0.108,2
"66","Spain",44,0.021,3
"67","Germany",45,0.108,2
"68","United Kingdom",45,0.03,2
"69","Spain",45,0.021,3
"70","United Kingdom",46,0.03,2
"71","Germany",46,0.108,2
"72","Spain",46,0.021,3
"73","Germany",47,0.108,2
"74","Spain",47,0.021,3
"75","United Kingdom",47,0.03,2
"76","Germany",48,0.108,2
"77","Spain",48,0.021,3
"78","United Kingdom",48,0.03,2
"79","Spain",49,0.021,3
"80","Italy",49,0.034,3
"81","Germany",49,0.12,2
"82","United Kingdom",49,0.03,2
"83","Germany",50,0.12,2
"84","Italy",50,0.051,3
"85","Spain",50,0.021,3
"86","United Kingdom",50,0.044,2
"87","United Kingdom",51,0.044,2
"88","Germany",51,0.12,2
"89","Italy",51,0.119,3
"90","Spain",51,0.021,3
"91","United Kingdom",52,0.044,2
"92","Germany",52,0.12,2
"93","Spain",52,0.021,3
"94","Italy",52,0.169,3
"95","Italy",53,0.203,3
"96","Germany",53,0.12,2
"97","United Kingdom",53,0.044,2
"98","Spain",53,0.021,3
"99","Italy",54,0.288,3
"100","United Kingdom",54,0.044,2
"101","Germany",54,0.12,2
"102","Spain",54,0.021,3
"103","Spain",55,0.021,3
"104","Germany",55,0.12,2
"105","United Kingdom",55,0.044,2
"106","Italy",55,0.356,3
"107","United Kingdom",56,0.044,2
"108","Germany",56,0.132,2
"109","Spain",56,0.021,3
"110","Italy",56,0.491,3
"111","Spain",57,0.021,3
"112","Italy",57,0.576,3
"113","United Kingdom",57,0.044,2
"114","Germany",57,0.132,2
"115","Germany",58,0.132,2
"116","Spain",58,0.021,3
"117","United Kingdom",58,0.044,2
"118","Italy",58,0.881,3
"119","Ireland",59,0.199,2
"120","Germany",59,0.132,2
"121","Italy",59,1.338,3
"122","Spain",59,0.021,3
"123","United Kingdom",59,0.059,2
"124","United Kingdom",60,0.059,2
"125","Germany",60,0.132,2
"126","Italy",60,1.812,3
"127","Ireland",60,0.199,2
"128","Spain",60,0.021,3
"129","Switzerland",61,0.229,1
"130","Spain",61,0.021,3
"131","United Kingdom",61,0.074,2
"132","Italy",61,2.507,3
"133","Germany",61,0.132,2
"134","Ireland",61,0.199,2
"135","Spain",62,0.021,3
"136","Germany",62,0.132,2
"137","Italy",62,3.337,3
"138","Ireland",62,0.199,2
"139","Switzerland",62,0.229,1
"140","United Kingdom",62,0.104,2
"141","Germany",63,0.276,2
"142","United Kingdom",63,0.133,2
"143","Netherlands",63,0.228,1
"144","Italy",63,3.947,3
"145","Ireland",63,0.199,2
"146","Switzerland",63,0.229,1
"147","Finland",63,0.18,1
"148","Spain",63,0.526,3
"149","Italy",64,6.199,3
"150","Germany",64,0.276,2
"151","Ireland",64,0.199,2
"152","Spain",64,0.526,3
"153","Netherlands",64,0.228,1
"154","Switzerland",64,0.343,1
"155","United Kingdom",64,0.133,2
"156","Finland",64,0.361,1
"157","Belgium",64,0.086,2
"158","Spain",65,0.526,3
"159","Belgium",65,0.086,2
"160","Finland",65,0.722,1
"161","Germany",65,0.276,2
"162","Switzerland",65,0.343,1
"163","United Kingdom",65,0.163,2
"164","Netherlands",65,0.228,1
"165","Italy",65,7.842,3
"166","Ireland",65,0.199,2
"167","Ireland",66,0.199,2
"168","Finland",66,0.902,1
"169","Spain",66,0.526,3
"170","Germany",66,0.276,2
"171","Belgium",66,0.086,2
"172","United Kingdom",66,0.237,2
"173","Netherlands",66,0.228,1
"174","Switzerland",66,0.572,1
"175","Italy",66,10.688,3
"176","Albania",67,0.352,1
"177","United Kingdom",67,0.281,2
"178","Netherlands",67,0.228,1
"179","Belgium",67,0.172,2
"180","Finland",67,1.624,1
"181","Denmark",67,0.17,1
"182","Ireland",67,0.199,2
"183","Spain",67,0.526,3
"184","Italy",67,14.008,3
"185","Sweden",67,0.095,1
"186","Switzerland",67,0.915,1
"187","Germany",67,0.276,2
"188","United Kingdom",68,0.385,2
"189","Belgium",68,0.429,2
"190","Ireland",68,0.199,2
"191","Italy",68,17.209,3
"192","Germany",68,0.276,2
"193","Sweden",68,0.095,1
"194","Switzerland",68,1.373,1
"195","Spain",68,0.526,3
"196","Poland",68,0.025,3
"197","Norway",68,0.184,1
"198","Albania",68,0.352,1
"199","Finland",68,1.805,1
"200","Denmark",68,0.17,1
"201","Netherlands",68,0.228,1
"202","Switzerland",69,1.716,1
"203","Sweden",69,0.19,1
"204","Finland",69,2.707,1
"205","United Kingdom",69,0.578,2
"206","Netherlands",69,0.228,1
"207","Belgium",69,0.429,2
"208","Ireland",69,0.398,2
"209","Italy",69,21.444,3
"210","Albania",69,0.352,1
"211","Norway",69,0.184,1
"212","Denmark",69,0.17,1
"213","Austria",69,0.112,1
"214","Poland",69,0.05,3
"215","Germany",69,0.276,2
"216","Spain",69,0.526,3
"217","Austria",70,0.112,1
"218","Netherlands",70,2.277,1
"219","Albania",70,0.352,1
"220","Switzerland",70,2.288,1
"221","Poland",70,0.075,3
"222","France",70,0.665,3
"223","Denmark",70,0.34,1
"224","Bulgaria",70,0.295,1
"225","Finland",70,3.429,1
"226","Spain",70,10.135,3
"227","Slovenia",70,0.472,2
"228","Norway",70,0.184,1
"229","Greece",70,0.385,3
"230","Germany",70,1.283,2
"231","Italy",70,24.408,3
"232","Belgium",70,0.772,2
"233","Sweden",70,0.284,1
"234","Ireland",70,0.398,2
"235","United Kingdom",70,0.815,2
"236","Ukraine",70,0.05,2
"237","Belgium",71,1.373,2
"238","Ukraine",71,0.05,2
"239","Finland",71,3.79,1
"240","Italy",71,30.642,3
"241","Poland",71,0.075,3
"242","Slovenia",71,0.472,2
"243","Bulgaria",71,0.295,1
"244","Norway",71,0.184,1
"245","Netherlands",71,2.277,1
"246","Sweden",71,0.474,1
"247","Hungary",71,0.1,3
"248","Ireland",71,0.398,2
"249","Greece",71,0.385,3
"250","United Kingdom",71,1.126,2
"251","Albania",71,0.352,1
"252","Austria",71,0.224,1
"253","Switzerland",71,3.203,1
"254","Denmark",71,0.68,1
"255","Germany",71,1.283,2
"256","Spain",71,10.135,3
"257","France",71,0.665,3
"258","Austria",72,0.336,1
"259","Slovenia",72,0.472,2
"260","Switzerland",72,4.004,1
"261","Netherlands",72,2.277,1
"262","Italy",72,36.553,3
"263","Sweden",72,0.664,1
"264","Ireland",72,0.597,2
"265","Greece",72,0.385,3
"266","Denmark",72,0.85,1
"267","Finland",72,4.512,1
"268","Bulgaria",72,0.295,1
"269","Ukraine",72,0.05,2
"270","Spain",72,10.135,3
"271","Hungary",72,0.1,3
"272","Belgium",72,1.973,2
"273","Norway",72,0.552,1
"274","United Kingdom",72,1.57,2
"275","Germany",72,1.283,2
"276","Poland",72,0.1,3
"277","France",72,0.665,3
"278","Albania",72,0.352,1
"279","Greece",73,0.385,3
"280","Sweden",73,0.758,1
"281","Denmark",73,1.02,1
"282","Slovenia",73,0.472,2
"283","Belgium",73,2.917,2
"284","Switzerland",73,5.377,1
"285","Netherlands",73,2.277,1
"286","Spain",73,10.135,3
"287","Poland",73,0.125,3
"288","United Kingdom",73,2.311,2
"289","Finland",73,6.317,1
"290","Bulgaria",73,0.295,1
"291","Austria",73,0.671,1
"292","France",73,0.665,3
"293","Germany",73,1.283,2
"294","Norway",73,0.552,1
"295","Ireland",73,0.597,2
"296","Italy",73,42.397,3
"297","Ukraine",73,0.05,2
"298","Albania",73,0.352,1
"299","Hungary",73,0.1,3
"300","Spain",74,10.135,3
"301","Poland",74,0.125,3
"302","Germany",74,1.283,2
"303","Finland",74,8.122,1
"304","Norway",74,0.552,1
"305","United Kingdom",74,3.17,2
"306","Italy",74,50.443,3
"307","Ireland",74,0.597,2
"308","Sweden",74,1.327,1
"309","Denmark",74,1.53,1
"310","Bulgaria",74,0.295,1
"311","Belgium",74,4.204,2
"312","Switzerland",74,6.293,1
"313","Albania",74,0.352,1
"314","Ukraine",74,0.05,2
"315","Slovenia",74,0.472,2
"316","France",74,0.665,3
"317","Austria",74,0.783,1
"318","Greece",74,0.385,3
"319","Netherlands",74,2.277,1
"320","Hungary",74,0.1,3
"321","United Kingdom",75,4.251,2
"322","Hungary",75,0.1,3
"323","Austria",75,1.119,1
"324","France",75,0.665,3
"325","Italy",75,57.675,3
"326","Netherlands",75,2.277,1
"327","Slovenia",75,0.472,2
"328","Albania",75,0.704,1
"329","Switzerland",75,7.894,1
"330","Greece",75,0.385,3
"331","Belgium",75,6.349,2
"332","Spain",75,10.135,3
"333","Norway",75,1.104,1
"334","Ukraine",75,0.05,2
"335","Ireland",75,0.597,2
"336","Finland",75,9.385,1
"337","Poland",75,0.125,3
"338","Sweden",75,1.991,1
"339","Germany",75,1.283,2
"340","Bulgaria",75,0.295,1
"341","Croatia",75,0.248,1
"342","Denmark",75,2.38,1
"343","Ireland",76,0.796,2
"344","Poland",76,0.125,3
"345","Belgium",76,9.351,2
"346","France",76,0.665,3
"347","Denmark",76,3.06,1
"348","Serbia",76,0.146,1
"349","United Kingdom",76,5.422,2
"350","Sweden",76,2.844,1
"351","Bosnia and Herzegovina",76,0.309,1
"352","Switzerland",76,10.297,1
"353","Spain",76,10.135,3
"354","Albania",76,0.704,1
"355","Bulgaria",76,0.295,1
"356","Austria",76,1.342,1
"357","Ukraine",76,0.05,2
"358","Finland",76,10.107,1
"359","Germany",76,1.283,2
"360","Norway",76,1.288,1
"361","Italy",76,68.296,3
"362","Slovenia",76,0.472,2
"363","Greece",76,0.385,3
"364","Netherlands",76,2.277,1
"365","Croatia",76,0.248,1
"366","Hungary",76,0.401,3
"367","Albania",77,0.704,1
"368","Sweden",77,3.602,1
"369","Ukraine",77,0.126,2
"370","Hungary",77,0.401,3
"371","France",77,11.033,3
"372","Belgium",77,12.783,2
"373","Germany",77,7.029,2
"374","Denmark",77,3.57,1
"375","North Macedonia",77,0.478,2
"376","Italy",77,81.728,3
"377","Ireland",77,0.995,2
"378","Portugal",77,2.531,3
